UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE
102049,R,120905,A,,R,23239,G,4030,G,968,G,4030,G,968,R,1109,2
102058,R,604,A,,R,188,G,20,G,8,G,20,G,8,A,,2
102067,R,94423,A,,A,,G,3147,A,,G,3147,A,,A,,2
102076,R,76932,A,,A,,G,2564,A,,G,2564,A,,A,,2
102094,R,265120,A,,R,103406,G,8837,G,4309,G,8837,G,4309,R,303,2
102234,R,27429,A,,R,2223,G,914,G,93,G,914,G,93,A,,2
102270,R,20658,A,,A,,G,689,A,,G,689,A,,A,,2
102298,R,24607,A,,R,1090,G,820,G,45,G,820,R,47,A,,2
102313,R,44192,A,,A,,G,1473,A,,G,1473,A,,A,,2
102368,R,253682,A,,R,54023,G,8456,G,2251,G,8456,G,2251,R,113,2
102377,R,80254,A,,R,3286,G,2675,G,137,G,2675,G,137,R,250,2
102395,R,3163,A,,R,1728,G,105,G,72,G,105,G,72,A,,2
102429,R,74810,A,,A,,G,2494,A,,G,2494,A,,A,,2
102553,R,187994,A,,R,19447,G,6266,G,810,G,6266,G,810,R,35,2
102580,R,868,A,,A,,G,29,A,,G,29,A,,A,,2
102614,R,114735,A,,R,14825,G,3825,G,618,G,3825,G,618,A,,2
102632,R,26662,A,,R,4165,G,889,G,174,G,889,G,174,A,,2
102669,R,10820,A,,R,1664,G,361,G,69,G,361,G,69,R,12,2
102711,A,,R,134246,A,,G,149,A,,G,149,A,,A,,1
102845,R,191040,A,,A,,G,6368,A,,G,6368,A,,A,,2
103501,R,11041,A,,A,,G,368,A,,G,368,A,,A,,2
103741,A,,R,199190,A,,G,221,A,,G,221,A,,A,,1
103893,R,33283,A,,A,,G,1109,A,,G,1109,A,,A,,2
103909,R,15747,A,,A,,G,525,A,,G,525,A,,A,,2
103927,R,14789,A,,A,,G,493,A,,G,493,A,,A,,2
103954,A,,R,40855,A,,G,45,A,,G,45,A,,A,,1
103963,R,28054,R,2120,A,,G,937,A,,G,937,A,,A,,3
104090,R,23985,A,,R,840,G,800,G,35,G,800,G,35,A,,2
104151,R,1987862,A,,R,261905,G,66262,G,10913,G,66262,G,10913,R,951,2
104160,R,156738,R,94441,A,,G,5330,A,,R,5399,A,,A,,3
104179,R,1174448,A,,R,146933,G,39148,G,6122,G,39148,G,6122,R,4137,2
104346,R,95972,A,,A,,G,3199,A,,G,3199,A,,A,,2
104391,A,,R,75337,A,,G,84,A,,G,84,A,,A,,1
104425,R,165094,A,,A,,G,5503,A,,G,5503,A,,A,,2
104443,A,,R,101493,A,,G,113,A,,G,113,A,,A,,1
104568,A,,R,353824,A,,G,393,A,,G,393,A,,A,,1
104577,R,88065,A,,A,,G,2936,A,,G,2936,A,,A,,2
104586,R,95172,A,,R,486,G,3172,G,20,G,3172,G,20,A,,2
104665,A,,A,,R,141,A,,G,6,A,,G,6,A,,-2
104708,R,224787,A,,A,,G,7493,A,,G,7493,A,,A,,2
104717,R,2085493,A,,R,786638,G,69516,G,32777,G,69516,G,32777,A,,2
105145,R,80066,A,,A,,G,2669,A,,G,2669,A,,A,,2
105154,R,268054,A,,A,,G,8935,A,,G,8935,A,,A,,2
105206,R,71934,A,,A,,G,2398,A,,G,2398,A,,A,,2
105215,R,22596,A,,A,,G,753,A,,G,753,A,,A,,2
105297,R,35724,A,,R,76,G,1191,G,3,G,1191,G,3,A,,2
105330,R,644123,A,,R,87978,G,21471,G,3666,R,23582,R,4398,R,1035,2
105349,R,47840,A,,A,,G,1595,A,,G,1595,A,,A,,2
105428,R,164835,A,,A,,G,5495,A,,G,5495,A,,A,,2
105525,R,388337,R,70438,A,,G,13023,A,,G,13023,A,,A,,3
105534,R,122098,R,14179,R,2889,G,4086,G,120,G,4086,G,120,A,,3
105543,R,27108,A,,A,,G,904,A,,G,904,A,,A,,2
105589,R,7981,A,,R,13911,G,266,G,580,G,266,G,580,A,,2
105659,R,41309,A,,A,,G,1377,A,,G,1377,A,,A,,2
105668,R,327150,A,,A,,G,10905,A,,G,10905,A,,A,,2
105677,A,,R,33440,A,,G,37,A,,G,37,A,,A,,1
105747,R,107018,A,,A,,G,3567,A,,G,3567,A,,A,,2
105792,R,66217,A,,A,,G,2207,A,,G,2207,A,,A,,2
105899,R,34168,A,,R,525,G,1139,G,22,G,1139,G,22,A,,2
106041,R,72606,A,,A,,G,2420,A,,G,2420,A,,A,,2
106148,R,112537,A,,A,,G,3751,A,,G,3751,A,,A,,2
106245,R,135323,A,,R,26201,G,4511,G,1092,G,4511,G,1092,R,400,2
106263,R,35271,A,,R,15211,G,1176,G,634,G,1176,G,634,R,1274,2
106306,R,10729,A,,A,,G,358,A,,G,358,A,,A,,2
106315,A,,R,128300,A,,G,143,A,,G,143,A,,A,,1
106324,A,,R,32253,A,,G,36,A,,G,36,A,,A,,1
106342,R,17146,A,,R,18,G,572,G,1,G,572,G,1,A,,2
106351,A,,R,66674,A,,G,74,A,,G,74,A,,A,,1
106397,R,774633,A,,R,73104,G,25821,G,3046,G,25821,G,3046,R,488,2
106412,R,52167,A,,R,3099,G,1739,G,129,G,1739,G,129,A,,2
106449,R,64591,A,,A,,G,2153,A,,G,2153,A,,A,,2
106458,R,251284,A,,R,101949,G,8376,G,4248,G,8376,G,4248,R,570,2
106467,R,185657,A,,R,10491,G,6189,G,437,G,6189,G,437,A,,2
106485,R,59480,A,,R,8226,G,1983,G,343,G,1983,G,343,A,,2
106494,A,,R,40069,A,,G,45,A,,G,45,A,,A,,1
106546,R,16578,A,,A,,G,553,A,,G,553,A,,A,,2
106625,R,32593,A,,A,,G,1086,A,,G,1086,A,,A,,2
106704,R,220182,A,,R,25653,G,7339,G,1069,G,7339,G,1069,R,565,2
106713,R,14612,A,,A,,G,487,A,,G,487,A,,A,,2
106795,R,24918,A,,A,,G,831,A,,G,831,A,,A,,2
106810,R,5075,A,,A,,G,169,A,,G,169,A,,A,,2
106883,R,21878,A,,A,,G,729,A,,G,729,A,,A,,2
106908,A,,R,381104,A,,G,423,A,,G,423,A,,A,,1
106980,R,48036,A,,A,,G,1601,A,,G,1601,A,,A,,2
106999,R,25109,A,,A,,G,837,A,,G,837,A,,A,,2
107044,R,102232,A,,R,17850,G,3408,G,744,G,3408,G,744,R,174,2
107071,R,42615,A,,R,11221,G,1421,G,468,G,1421,G,468,A,,2
107080,R,31010,A,,R,248,G,1034,G,10,G,1034,G,10,A,,2
107099,A,,R,102900,A,,G,114,A,,G,114,A,,A,,1
107123,R,2688,A,,A,,G,90,A,,G,90,A,,A,,2
107141,R,45127,A,,R,9483,G,1504,G,395,G,1504,G,395,A,,2
107220,A,,R,281638,A,,G,313,A,,G,313,A,,A,,1
107293,A,,R,62234,A,,G,69,A,,G,69,A,,A,,1
107318,R,17774,A,,A,,G,592,A,,G,592,A,,A,,2
107327,R,23179,A,,A,,G,773,A,,G,773,A,,A,,2
107442,A,,R,38750,A,,G,43,A,,G,43,A,,A,,1
107460,R,38738,A,,A,,G,1291,A,,G,1291,A,,A,,2
107488,R,7840,A,,A,,G,261,A,,G,261,A,,A,,2
107512,R,49188,A,,R,1732,G,1640,G,72,G,1640,G,72,A,,2
107521,R,27626,A,,A,,G,921,A,,G,921,A,,A,,2
107549,R,19356,A,,A,,G,645,A,,G,645,A,,A,,2
107558,R,22889,A,,A,,G,763,A,,G,763,A,,A,,2
107585,R,43450,A,,A,,G,1448,A,,G,1448,A,,A,,2
107600,R,25473,A,,R,675,G,849,G,28,G,849,G,28,A,,2
107619,R,25165,A,,A,,G,839,A,,G,839,A,,A,,2
107637,R,20781,A,,A,,G,693,A,,G,693,A,,A,,2
107655,A,,R,30400,A,,G,34,A,,G,34,A,,A,,1
107664,R,98973,A,,A,,G,3299,A,,G,3299,A,,A,,2
107725,R,22413,A,,A,,G,747,A,,G,747,A,,A,,2
107743,R,16309,A,,A,,G,544,A,,G,544,A,,A,,2
107789,A,,R,123228,A,,G,137,A,,G,137,A,,A,,1
107831,A,,R,61662,A,,G,69,A,,G,69,A,,A,,1
107840,R,5458,A,,A,,G,182,A,,R,190,A,,A,,2
107877,R,14447,A,,R,351,G,482,G,15,G,482,G,15,A,,2
107974,R,25835,A,,A,,G,861,A,,G,861,A,,A,,2
107983,R,88897,A,,R,30629,G,2963,G,1276,G,2963,G,1276,A,,2
107992,R,23802,A,,A,,G,793,A,,G,793,A,,A,,2
108065,A,,R,10000,A,,G,11,A,,G,11,A,,A,,1
108092,R,127501,A,,R,576,G,4250,G,24,G,4250,G,24,A,,2
108232,R,87048,A,,R,33615,G,2902,G,1401,G,2902,G,1401,A,,2
108269,A,,A,,R,3699,A,,G,154,A,,G,154,A,,-2
108667,R,78033,A,,A,,G,2601,A,,G,2601,A,,A,,2
108807,R,185409,A,,A,,G,6180,A,,G,6180,A,,A,,2
108852,R,5525,A,,A,,G,184,A,,G,184,A,,A,,2
108861,R,194,A,,R,626,G,6,G,26,G,6,G,26,A,,2
108870,A,,A,,R,10761,A,,G,448,A,,G,448,A,,-2
108977,A,,R,232418,A,,G,258,A,,G,258,A,,A,,1
109040,R,72903,R,639744,A,,G,3141,A,,G,3141,A,,A,,3
109208,R,513041,A,,A,,G,17101,A,,G,17101,A,,A,,2
109350,R,245351,A,,A,,G,8178,A,,G,8178,A,,A,,2
109651,R,69429,A,,R,9079,G,2314,G,378,G,2314,G,378,A,,2
109721,A,,R,313900,A,,G,349,A,,G,349,A,,A,,1
109785,R,86762,A,,R,67310,G,2892,G,2805,G,2892,G,2805,R,635,2
109819,R,516133,A,,A,,G,17204,A,,G,17204,A,,A,,2
109907,R,70163,A,,A,,G,2339,A,,G,2339,A,,A,,2
109934,A,,R,401865,A,,G,447,A,,G,447,A,,A,,1
110060,R,5248,A,,R,912,G,175,G,38,G,175,G,38,R,4,2
110097,R,101000,A,,R,25661,G,3367,G,1069,G,3367,G,1069,A,,2
110194,A,,R,249635,A,,G,277,A,,G,277,A,,A,,1
110219,R,68709,A,,R,432,G,2290,G,18,G,2290,G,18,A,,2
110246,R,220568,A,,A,,G,7352,A,,G,7352,A,,A,,2
110316,R,2402,A,,R,28538,G,80,G,1189,G,80,G,1189,R,49,2
110334,R,140300,A,,A,,G,4677,A,,G,4677,A,,A,,2
110361,R,233494,A,,R,89080,G,7783,G,3712,G,7783,G,3712,A,,2
110370,R,29404,A,,R,9480,G,980,G,395,G,980,G,395,A,,2
110398,A,,A,,R,1510,A,,G,63,A,,G,63,R,1109,-2
110404,R,45204,A,,R,52575,G,1005,G,1460,G,1005,G,1460,A,,2
110413,R,71987,A,,R,20465,G,2400,G,853,G,2400,G,853,R,108,2
110422,R,976030,A,,R,28837,G,21690,G,801,G,21690,G,801,A,,2
110468,R,7001,A,,R,61983,G,233,G,2583,G,233,G,2583,R,868,2
110486,R,225099,A,,R,28449,G,7503,G,1185,G,7503,G,1185,A,,2
110495,R,232837,A,,R,22484,G,7761,G,937,G,7761,G,937,A,,2
110510,R,434913,A,,R,44629,G,14497,G,1860,G,14497,G,1860,A,,2
110529,R,658651,A,,R,36892,G,21955,G,1537,G,21955,G,1537,A,,2
110538,R,373721,A,,R,18788,G,12457,G,783,G,12457,G,783,A,,2
110547,R,325722,A,,R,37622,G,10857,G,1568,G,10857,G,1568,Z,0,2
110556,R,573586,A,,R,33808,G,19120,G,1409,G,19120,G,1409,R,155,2
110565,R,983246,A,,R,61067,G,32775,G,2544,G,32775,G,2544,R,166,2
110574,R,273759,A,,R,57443,G,9125,G,2393,G,9125,G,2393,A,,2
110583,R,918713,A,,R,83163,G,30624,G,3465,G,30624,G,3465,R,205,2
110592,R,576573,A,,R,49088,G,19219,G,2045,G,19219,G,2045,R,56,2
110608,R,837918,A,,R,87474,G,27931,G,3645,G,27931,G,3645,R,193,2
110617,R,750189,A,,R,49158,G,25006,G,2048,G,25006,G,2048,R,176,2
110635,R,1015145,A,,R,269890,G,33838,G,11245,G,33838,G,11245,R,1261,2
110644,R,1433361,A,,R,216763,G,31852,G,6021,G,31852,G,6021,R,1788,2
110653,R,1375726,A,,R,224953,G,30572,G,6249,G,30572,G,6249,R,1134,2
110662,R,1561035,A,,R,424333,G,34690,G,11787,G,34690,G,11787,R,2110,2
110671,R,1025969,A,,R,119418,G,22799,G,3317,G,22799,G,3317,R,332,2
110680,R,1589994,A,,R,284141,G,35333,G,7893,G,35333,G,7893,R,845,2
110699,A,,A,,R,44252,A,,G,1229,A,,G,1229,R,1418,-2
110705,R,1064926,A,,R,107926,G,23665,G,2998,G,23665,G,2998,A,,2
110714,R,871108,A,,R,69990,G,19358,G,1944,G,19358,G,1944,A,,2
110778,R,177,A,,R,16223,G,4,G,451,G,4,G,451,R,78,2
110875,A,,R,104856,A,,G,117,A,,G,117,A,,A,,1
111045,R,574,A,,R,1234,G,19,G,51,G,19,G,51,A,,2
111054,A,,R,85310,A,,G,95,A,,G,95,A,,A,,1
111081,R,27152,A,,R,11831,G,905,G,493,G,905,G,493,A,,2
111188,R,27316,A,,R,648,G,911,G,27,G,911,G,27,A,,2
111391,A,,A,,A,,A,,A,,A,,A,,R,652,-2
111434,R,83953,A,,A,,G,2798,A,,G,2798,A,,A,,2
111461,R,315453,A,,A,,G,10515,A,,G,10515,A,,A,,2
111513,A,,R,208727,A,,G,232,A,,G,232,A,,A,,1
111638,R,33605,A,,A,,G,1120,A,,R,750,A,,A,,2
111708,A,,R,174755,A,,G,194,A,,G,194,A,,A,,1
111717,A,,R,153817,A,,G,171,A,,G,171,A,,A,,1
111726,A,,R,122346,A,,G,136,A,,G,136,A,,A,,1
111744,A,,R,136733,A,,G,152,A,,G,152,A,,A,,1
111762,A,,R,108538,A,,G,121,A,,G,121,A,,A,,1
111799,A,,R,160395,A,,G,178,A,,G,178,A,,A,,1
111887,R,507989,A,,A,,G,16933,A,,G,16933,A,,A,,2
111896,R,78919,A,,A,,G,2631,A,,G,2631,A,,A,,2
111920,R,212424,A,,A,,G,7081,A,,G,7081,A,,A,,2
111939,R,399286,A,,A,,G,13310,A,,G,13310,A,,A,,2
111948,R,230631,A,,R,31403,G,7688,G,1308,G,7688,G,1308,R,840,2
111966,R,8896,A,,R,19856,G,297,G,827,G,297,G,827,R,73,2
112075,R,47753,A,,R,42515,G,1592,G,1771,G,1592,G,1771,A,,2
112084,R,2284,A,,R,219,G,76,G,9,G,76,G,9,A,,2
112127,A,,A,,R,888,A,,G,37,A,,G,37,A,,-2
112172,R,230428,A,,A,,G,7681,A,,G,7681,A,,A,,2
112181,A,,R,94115,A,,G,105,A,,G,105,A,,A,,1
112190,R,304734,A,,A,,G,10158,A,,G,10158,A,,A,,2
112251,A,,A,,R,20556,A,,G,857,A,,G,857,R,51,-2
112260,R,40859,A,,R,108,G,1362,G,5,G,1362,G,5,A,,2
112288,R,801,R,547592,A,,G,635,A,,G,635,A,,A,,3
112367,A,,R,207300,A,,G,230,A,,G,230,A,,A,,1
112385,R,123816,A,,A,,G,4127,A,,G,4127,A,,A,,2
112394,R,12737,A,,R,212,G,425,G,9,G,425,G,9,A,,2
112455,A,,R,96326,A,,G,107,A,,G,107,A,,A,,1
112525,A,,A,,R,9968,A,,G,415,A,,G,415,R,3270,-2
112561,R,44386,A,,A,,G,1480,A,,R,1479,A,,A,,2
112570,R,3077,A,,A,,G,103,A,,G,103,A,,A,,2
112686,R,84572,A,,A,,G,2819,A,,G,2819,A,,A,,2
112826,R,104759,A,,A,,G,3492,A,,G,3492,A,,A,,2
113096,R,281790,A,,A,,G,9393,A,,G,9393,A,,A,,2
113111,R,108822,A,,A,,G,3627,A,,G,3627,A,,A,,2
113193,R,176056,A,,A,,G,5869,A,,G,5869,A,,A,,2
113218,R,133021,A,,A,,G,4434,A,,G,4434,A,,A,,2
113236,R,269429,A,,A,,G,8981,A,,G,8981,A,,A,,2
113333,R,579591,A,,A,,G,12880,A,,G,12880,A,,A,,2
113449,A,,R,166421,A,,G,185,A,,G,185,A,,A,,1
113573,R,205848,A,,A,,G,6862,A,,G,6862,A,,A,,2
113582,R,3009,A,,R,585,G,100,G,24,G,100,G,24,A,,2
113616,R,719,A,,R,396,G,24,G,17,G,24,G,17,A,,2
113634,R,326966,A,,A,,G,10899,A,,G,10899,A,,A,,2
113698,R,33299,A,,R,21646,G,1110,G,902,G,1110,G,902,R,17,2
113704,A,,A,,R,1211,A,,G,50,A,,G,50,A,,-2
113856,R,467180,A,,A,,G,15573,A,,G,15573,A,,A,,2
113980,R,426698,A,,A,,G,14223,A,,G,14223,A,,A,,2
114114,A,,A,,R,6578,A,,G,183,A,,G,183,R,43,-2
114266,R,155535,A,,A,,G,5185,A,,G,5185,A,,A,,2
114354,R,37654,A,,R,1374,G,837,G,38,G,837,G,38,A,,2
114433,R,33258,A,,A,,G,1109,A,,G,1109,A,,A,,2
114460,A,,R,202311,A,,G,225,A,,G,225,A,,A,,1
114549,A,,A,,R,23701,A,,G,988,A,,R,812,A,,-2
114585,A,,A,,R,3786,A,,G,158,A,,G,158,R,178,-2
114637,A,,R,42268,A,,G,47,A,,G,47,A,,A,,1
114716,R,357811,A,,A,,G,7951,A,,G,7951,A,,A,,2
114734,A,,A,,R,1296,A,,G,54,A,,G,54,A,,-2
114761,A,,R,58569,A,,G,65,A,,G,65,A,,A,,1
114789,R,424468,A,,A,,G,14149,A,,G,14149,A,,A,,2
114813,R,42107,A,,R,27336,G,1404,G,1139,G,1404,G,1139,A,,2
114840,A,,A,,R,34476,A,,G,958,A,,G,958,R,471,-2
114859,R,367816,A,,A,,G,12261,A,,G,12261,A,,A,,2
114938,R,99950,A,,A,,G,3332,A,,G,3332,A,,A,,2
114947,A,,R,111942,A,,G,124,A,,G,124,A,,A,,1
115001,R,307199,A,,A,,G,10240,A,,G,10240,A,,A,,2
115010,R,17613,R,254544,A,,G,870,A,,G,870,A,,A,,3
115083,R,23525,A,,R,74951,G,784,G,3123,G,784,R,4164,R,109,2
115126,R,196797,A,,A,,G,6560,A,,G,6560,A,,A,,2
115214,A,,A,,R,3400,A,,G,142,A,,G,142,A,,-2
115296,R,241377,A,,A,,G,8046,A,,G,8046,A,,A,,2
115357,A,,R,168165,A,,G,187,A,,G,187,A,,A,,1
115393,R,180422,A,,A,,G,6014,A,,G,6014,A,,A,,2
115409,R,29541,A,,A,,G,985,A,,R,957,A,,A,,2
115658,A,,R,75146,A,,G,83,A,,G,83,A,,A,,1
115746,A,,A,,R,28922,A,,G,803,A,,G,803,A,,-2
115755,R,158168,A,,R,9145,G,5272,G,381,G,5272,G,381,A,,2
115773,R,6112,A,,R,9518,G,136,G,264,G,136,G,264,R,85,2
115861,R,186395,A,,A,,G,6213,A,,G,6213,A,,A,,2
115931,R,2407,R,473920,A,,G,607,A,,G,607,A,,A,,3
116226,R,3334,A,,R,140,G,74,G,4,G,74,G,4,A,,2
116439,R,245165,A,,A,,G,8172,A,,G,8172,A,,A,,2
116563,A,,R,203165,A,,G,226,A,,G,226,A,,A,,1
116846,R,1650,A,,R,1884,G,55,G,79,G,55,G,79,A,,2
117052,R,143201,A,,A,,G,4773,A,,G,4773,A,,A,,2
117104,R,10767,A,,R,2211,G,359,G,92,G,359,G,92,A,,2
117140,R,100093,A,,R,33401,G,3336,G,1392,G,3336,G,1392,R,617,2
117168,R,20508,A,,R,893,G,684,G,37,G,684,G,37,A,,2
117195,R,78143,A,,A,,G,1737,A,,G,1737,A,,A,,2
117238,A,,R,143724,A,,G,160,A,,G,160,A,,A,,1
117247,R,151787,A,,A,,G,5060,A,,G,5060,A,,A,,2
117274,R,30300,A,,A,,G,1010,A,,G,1010,A,,A,,2
117283,R,1814,A,,A,,G,60,A,,G,60,A,,A,,2
117520,A,,A,,R,134,A,,G,4,A,,G,4,R,589,-2
117557,R,6390,A,,R,7161,G,213,G,298,G,213,G,298,A,,2
117575,R,780,A,,R,2184,G,26,G,91,G,26,G,91,R,25,2
117627,R,51970,A,,R,9446,G,1155,G,262,G,1155,G,262,A,,2
117636,R,40101,A,,R,57876,G,891,G,1608,G,891,G,1608,R,1614,2
117645,R,501407,A,,A,,G,16714,A,,G,16714,A,,A,,2
117672,R,18461,A,,R,18768,G,615,G,782,G,615,R,496,R,887,2
117690,R,132808,A,,A,,G,4427,A,,G,4427,A,,A,,2
117706,R,287428,A,,A,,G,9581,A,,G,9581,A,,A,,2
117715,R,74725,A,,A,,G,2491,A,,G,2491,A,,A,,2
117724,R,198626,A,,A,,G,6621,A,,G,6621,A,,A,,2
117733,R,249218,A,,A,,G,8307,A,,G,8307,A,,A,,2
117751,R,50950,A,,R,15302,G,1698,G,638,G,1698,G,638,R,8,2
117788,R,223082,A,,A,,G,7436,A,,G,7436,A,,A,,2
117803,R,4484,R,3500,A,,G,153,A,,G,153,A,,A,,3
117867,R,152515,A,,A,,G,5084,A,,G,5084,A,,A,,2
117894,R,155862,A,,A,,G,5195,A,,G,5195,A,,A,,2
117946,R,230655,A,,R,33328,G,7689,G,1389,R,6961,R,1331,R,958,2
117955,A,,R,266354,A,,G,296,A,,G,296,A,,A,,1
118134,A,,R,62855,A,,G,70,A,,G,70,A,,A,,1
118143,A,,R,55938,A,,G,62,A,,G,62,A,,A,,1
118161,A,,R,122826,A,,G,136,A,,G,136,A,,A,,1
118198,R,35399,R,456600,A,,G,1687,A,,G,1687,A,,A,,3
118347,R,92850,A,,A,,G,3095,A,,G,3095,A,,A,,2
118684,R,62564,A,,A,,G,2085,A,,G,2085,A,,A,,2
118693,R,25238,A,,R,312,G,841,G,13,G,841,G,13,A,,2
118718,R,242072,A,,A,,G,8069,A,,G,8069,A,,A,,2
118772,R,108314,A,,A,,G,3610,A,,G,3610,A,,A,,2
118888,R,18473,A,,R,2081,G,616,G,87,R,577,G,87,A,,2
118912,R,268754,A,,A,,G,8958,A,,G,8958,A,,A,,2
118930,R,117044,A,,A,,G,3901,A,,G,3901,A,,A,,2
118958,A,,R,64341,A,,G,71,A,,G,71,A,,A,,1
118976,R,340824,A,,A,,G,11361,A,,R,11360,A,,A,,2
118994,A,,R,296035,A,,G,329,A,,G,329,A,,A,,1
119058,R,372,A,,R,12928,G,12,G,539,G,12,G,539,A,,2
119067,R,123899,A,,A,,G,4130,A,,G,4130,A,,A,,2
119137,R,275022,A,,A,,G,9167,A,,G,9167,A,,A,,2
119164,R,618744,A,,A,,G,20625,A,,G,20625,A,,A,,2
119173,R,54086,A,,R,7932,G,1803,G,331,G,1803,R,330,R,403,2
119216,R,341899,A,,A,,G,11397,A,,G,11397,A,,A,,2
119270,R,33877,A,,R,997,G,753,G,28,G,753,G,28,A,,2
119331,R,74711,A,,A,,G,2490,A,,G,2490,A,,A,,2
119553,R,49300,R,15976,A,,G,1661,A,,G,1661,A,,A,,3
119605,R,384049,A,,R,324583,G,12802,G,13524,R,8534,R,9016,R,204,2
119678,A,,A,,R,182533,A,,G,5070,A,,G,5070,A,,-2
119775,R,8501,A,,R,2814,G,189,G,78,G,189,G,78,A,,2
119951,A,,R,304000,A,,G,338,A,,G,338,A,,A,,1
120069,A,,R,294293,A,,G,327,A,,G,327,A,,A,,1
120078,R,8590,R,491119,A,,G,832,A,,G,832,A,,A,,3
120087,A,,R,210484,A,,G,234,A,,G,234,A,,A,,1
120166,R,2424,A,,R,6884,G,81,G,287,G,81,G,287,A,,2
120184,R,294,A,,R,3837,G,10,G,160,G,10,G,160,A,,2
120254,R,58457,A,,R,0,G,1949,G,0,G,1949,G,0,A,,2
120290,R,160782,A,,A,,G,5359,A,,G,5359,A,,A,,2
120342,R,326032,A,,A,,G,10868,A,,G,10868,A,,A,,2
120403,R,36402,A,,R,1501,G,1213,G,63,G,1213,G,63,A,,2
120421,R,123752,A,,A,,G,4125,A,,G,4125,A,,A,,2
120537,R,17701,A,,R,11498,G,590,G,479,G,590,G,479,A,,2
120661,R,25960,A,,A,,G,865,A,,G,865,A,,A,,2
120698,R,680,A,,R,36207,G,15,G,1006,G,15,G,1006,A,,2
120768,R,7965,A,,R,13673,G,266,G,570,G,266,G,570,A,,2
120795,A,,A,,R,1409,A,,G,59,A,,G,59,A,,-2
120838,R,828,A,,R,704,G,18,G,20,G,18,G,20,A,,2
120865,R,33125,A,,R,733,G,736,G,20,G,736,G,20,A,,2
120883,R,101536,A,,R,52891,G,3385,G,2204,G,3385,G,2204,R,2363,2
120953,R,52105,A,,A,,G,1737,A,,G,1737,A,,A,,2
